section,sku_idx,sku_id,source_url,add_button_id,name,description,weight_text,price_rub,image_url,image_path,image_width,image_height,img_brightness,img_contrast,img_saturation,img_warmth,img_sharpness,image_quality_score,food_styling_score,appetite_score_data
furshetmenu,15,furshetmenu-015,https://363363.ru/furshetmenu,buttonu18291,Морской каприз,"Салат романно, морепродукты, креветки, огурцы свежие,",,1800.0,https://363363.ru/images/73522500_krev.jpg?crc=237995202,artifacts/sku-audit/images/furshetmenu/furshetmenu-015.jpg,253,168,161.86,59.99,66.33,1.199,58.32,6.05,4.25,5.24
furshetmenu,16,furshetmenu-016,https://363363.ru/furshetmenu,buttonu18240,Острый по-пекински,"Мясо свинины, соус соевый, огурцы, помидоры, лук, чеснок, лук порей,",,1200.0,https://363363.ru/images/600x398_0_d6d77afcf74dab5ec32d73a1773f71e2%40800x530_0x59f91261_8047202761381418290.jpg?crc=117768003,artifacts/sku-audit/images/furshetmenu/furshetmenu-016.jpg,262,174,166.9,68.28,95.3,1.312,56.15,6.27,5.17,5.78
furshetmenu,17,furshetmenu-017,https://363363.ru/furshetmenu,buttonu45037,Салат кокетка с ананасом,"Отварное филе курицы, консервированные ананасы, помидоры, сыр, майонез, укроп, чеснок",,1100.0,https://363363.ru/images/no_product.png?crc=4237949635,artifacts/sku-audit/images/furshetmenu/furshetmenu-017.png,251,251,249.95,13.24,0.38,0.999,34.43,2.8,3.04,2.91
furshetmenu,18,furshetmenu-018,https://363363.ru/furshetmenu,buttonu42698,Торт Печеночный,"Лук пассированный, морковь, майонез,яйцо,зелень",,1100.0,https://363363.ru/images/638b10ac1b88713128203f1d350a78ea.jpg?crc=300198844,artifacts/sku-audit/images/furshetmenu/furshetmenu-018.jpg,252,168,144.61,67.21,119.96,1.571,64.67,6.74,5.95,6.38
furshetmenu,19,furshetmenu-019,https://363363.ru/furshetmenu,buttonu42841,Селедочка с луком,Селедочка с луком,,1050.0,https://363363.ru/images/111-07.jpg?crc=435264988,artifacts/sku-audit/images/furshetmenu/furshetmenu-019.jpg,264,177,168.94,54.76,69.95,1.295,50.28,5.22,4.52,4.9
furshetmenu,20,furshetmenu-020,https://363363.ru/furshetmenu,buttonu44988,Салат мужской каприз,"Отварное мясо языка, говядины, огурчик свежий, яйцо вареное, майонез, листья салата, соус кисло-сладкий, соус чили",,1800.0,https://363363.ru/images/no_product.png?crc=4237949635,artifacts/sku-audit/images/furshetmenu/furshetmenu-020.png,251,251,249.95,13.24,0.38,0.999,34.43,2.8,3.04,2.91
furshetmenu,21,furshetmenu-021,https://363363.ru/furshetmenu,buttonu80570,Салат по сицилийски,"Баклажаны обжаренные в крахмале ,помидор черри, моцарелла, лук красный, кинза, специи,",,1450.0,https://363363.ru/images/%d0%b8%d0%b7%d0%be%d0%b1%d1%80%d0%b0%d0%b6%d0%b5%d0%bd%d0%b8%d0%b5%20whatsapp%202024-01-23%20%d0%b2%20151142_f8ea92cb-crop-u80572.jpg?crc=4231917769,artifacts/sku-audit/images/furshetmenu/furshetmenu-021.jpg,251,168,111.48,61.82,138.13,1.878,76.54,7.21,6.55,6.91
furshetmenu,22,furshetmenu-022,https://363363.ru/furshetmenu,buttonu80619,Салат норвежский,"Красная рыба, помидор черри, огурец свежий, листья салата, сыр творожный, специи, масло",,1700.0,https://363363.ru/images/%d0%b8%d0%b7%d0%be%d0%b1%d1%80%d0%b0%d0%b6%d0%b5%d0%bd%d0%b8%d0%b5%20whatsapp%202024-01-23%20%d0%b2%20151142_840e4d5b-crop-u80624.jpg?crc=339684661,artifacts/sku-audit/images/furshetmenu/furshetmenu-022.jpg,251,168,113.95,52.88,176.31,2.655,61.7,5.64,8.56,6.95
furshetmenu,23,furshetmenu-023,https://363363.ru/furshetmenu,buttonu80799,Рулет из скумбрии,"Филе скумбрии фарерские острова, спассированный лук, морковь, паприка, специи, масло растительное",,1450.0,https://363363.ru/images/no_product-crop-u80804.png?crc=3897203627,artifacts/sku-audit/images/furshetmenu/furshetmenu-023.png,251,168,247.45,15.59,0.56,0.998,38.76,3.24,3.02,3.14
hot,1,hot-001,https://363363.ru/hot,buttonu17576,Шашлык из куриного филе,"Куриное филе, лимон, лук репчатый, уксус 2%, перец красный, перец черный, паприка, соль.",,1500.0,https://363363.ru/images/recept-shashlik-iz-kuricy31.jpg?crc=4126558266,artifacts/sku-audit/images/hot/hot-001.jpg,269,178,138.27,57.97,141.04,1.998,77.71,7.36,7.0,7.2
