section,sku_id,name,price_rub,appetite_score_data,image_quality_score,food_styling_score,taste_bucket,image_path,image_url
zakuski,zakuski-028,Праздничный салат в фуршетной форме на выбор,210.0,5.38,4.89,5.97,mid,artifacts/sku-audit/images/zakuski/zakuski-028.jpg,https://363363.ru/images/salat_iz_pecheni_treski_sloenii-210359.jpg?crc=4216082104
hot,hot-007,Отбивная из курицы с шампиньонами,1400.0,5.39,5.5,5.25,mid,artifacts/sku-audit/images/hot/hot-007.jpg,https://363363.ru/images/kurinaja-otbivnaja.jpg?crc=175871323
zakuski,zakuski-021,Заливное из говядины,210.0,5.39,5.61,5.12,mid,artifacts/sku-audit/images/zakuski/zakuski-021.jpg,https://363363.ru/images/b3085f5b.jpg?crc=100548900
desert,desert-014,Яблоко запеченное (рекомендовано к посту),320.0,5.44,5.11,5.84,mid,artifacts/sku-audit/images/desert/desert-014.jpg,https://363363.ru/images/orig.jpg?crc=514467529
napitki,napitki-016,Сок Добрый Яблоко-Вишня-Черноплодная рябина,,5.46,6.91,3.69,mid,artifacts/sku-audit/images/napitki/napitki-016.png,https://363363.ru/images/1-vishnya.png?crc=4147684703
hot,hot-031,Утка запеченная с яблоками,1900.0,5.47,5.34,5.62,mid,artifacts/sku-audit/images/hot/hot-031.jpg,https://363363.ru/images/image%2070%20(7).jpg?crc=501540780
furshetmenu,furshetmenu-011,Салат Оливье,1100.0,5.48,5.84,5.05,mid,artifacts/sku-audit/images/furshetmenu/furshetmenu-011.jpg,https://363363.ru/images/olive-s-kolbasoy-620x350.jpg?crc=3763847729
napitki,napitki-010,Сок Добрый Персик,,5.48,6.77,3.91,mid,artifacts/sku-audit/images/napitki/napitki-010.jpg,https://363363.ru/images/199bfc34-dc53-11e5-bf2e-7446a0fe36b1_fd6e63b0-dd79-11e5-bf2e-7446a0fe36b1.jpg?crc=4034752017
napitki,napitki-003,Coca Cola,,5.52,7.29,3.36,mid,artifacts/sku-audit/images/napitki/napitki-003.jpg,https://363363.ru/images/4340.jpg?crc=3888368262
napitki,napitki-009,Сок Добрый Яблоко,,5.53,6.78,4.01,mid,artifacts/sku-audit/images/napitki/napitki-009.jpg,https://363363.ru/images/large_image.jpg?crc=254181845
napitki,napitki-013,Сок Добрый Томат,,5.53,6.83,3.95,mid,artifacts/sku-audit/images/napitki/napitki-013.jpg,https://363363.ru/images/443488_1.jpg?crc=303541202
hot,hot-035,БЕДРО КУРИНОЕ ЖАРЕНОЕ,700.0,5.58,6.09,4.96,mid,artifacts/sku-audit/images/hot/hot-035.jpg,https://363363.ru/images/1455965426_kak-pozharit-kurinyye-bedra.jpg?crc=155922550
zakuski,zakuski-010,Мини пирожки на выбор,95.0,5.59,5.9,5.21,mid,artifacts/sku-audit/images/zakuski/zakuski-010.jpg,https://363363.ru/images/00000010.jpg?crc=3819419139
zakuski,zakuski-011,Мини пирожки с сёмгой,120.0,5.59,5.9,5.21,mid,artifacts/sku-audit/images/zakuski/zakuski-011.jpg,https://363363.ru/images/00000010.jpg?crc=3819419139
napitki,napitki-008,Сок Добрый Апельсин,,5.62,6.28,4.82,mid,artifacts/sku-audit/images/napitki/napitki-008.png,https://363363.ru/images/apel.png?crc=3782532649
hot,hot-005,Свинина запеченная с опятами,1500.0,5.63,5.97,5.22,mid,artifacts/sku-audit/images/hot/hot-005.jpg,https://363363.ru/images/41a6fd888a2d9c47345937a583ac7d20_20712.jpg?crc=60654276
desert,desert-016,Пирожное лакомка,150.0,5.64,4.26,7.32,mid,artifacts/sku-audit/images/desert/desert-016.jpg,https://363363.ru/images/1646124094_7-balthazar-club-p-pirozhnoe-lakomka-8-crop-u57022.jpg?crc=345778077
hot,hot-010,Картофель запеченный под сыром с грибами,850.0,5.65,4.71,6.8,mid,artifacts/sku-audit/images/hot/hot-010.jpg,https://363363.ru/images/kartofel_s_gribami_i_sirom-crop-u18921.jpg?crc=4219340121
hot,hot-022,Отбивная из курицы под ананасом,1400.0,5.66,5.09,6.35,mid,artifacts/sku-audit/images/hot/hot-022.jpg,https://363363.ru/images/p0lpfnlhiso.jpg?crc=420564000
zakuski,zakuski-025,Запеченная подушечка из брокколи и картофеля с семгой холодного копчения,250.0,5.68,5.47,5.93,mid,artifacts/sku-audit/images/zakuski/zakuski-025.jpg,https://363363.ru/images/kurica_s_brokkoli_v_duhovke-128681-crop-u49986.jpg?crc=53049579
zakuski,zakuski-034,БУТЕРБРОД ГОРЯЧИЙ С СЕМГОЙ И СЫРОМ,290.0,5.68,5.11,6.38,mid,artifacts/sku-audit/images/zakuski/zakuski-034.jpg,https://363363.ru/images/buterbrody-s-semgoj-recept-s-foto-2.jpg?crc=124935286
hot,hot-024,Котлетки рубленные по Албански из курицы,950.0,5.7,5.97,5.37,mid,artifacts/sku-audit/images/hot/hot-024.jpg,https://363363.ru/images/image%2070.jpg?crc=102686630
napitki,napitki-005,Сок морковный свежевыжатый,250.0,5.7,6.07,5.25,mid,artifacts/sku-audit/images/napitki/napitki-005.jpg,https://363363.ru/images/sok_1.jpg?crc=141283356
napitki,napitki-004,Pepsi,,5.72,7.58,3.45,mid,artifacts/sku-audit/images/napitki/napitki-004.jpg,https://363363.ru/images/pepsi.jpg?crc=4227739593
zakuski,zakuski-002,Канапе с сёмгой,210.0,5.74,5.73,5.75,mid,artifacts/sku-audit/images/zakuski/zakuski-002.jpg,https://363363.ru/images/1221321321-crop-u44613.jpg?crc=229345436
zakuski,zakuski-027,Мини-круассан с угрем,230.0,5.75,5.93,5.54,mid,artifacts/sku-audit/images/zakuski/zakuski-027.png,https://363363.ru/images/232223232322.png?crc=3844695786
zakuski,zakuski-029,Мини-круассан с лососем,270.0,5.75,5.93,5.54,mid,artifacts/sku-audit/images/zakuski/zakuski-029.png,https://363363.ru/images/232223232322.png?crc=3844695786
zakuski,zakuski-030,Мини-круассан со свининой и овощами,230.0,5.75,5.93,5.54,mid,artifacts/sku-audit/images/zakuski/zakuski-030.png,https://363363.ru/images/232223232322.png?crc=3844695786
zakuski,zakuski-032,Мини-круассан с курицей,230.0,5.75,5.93,5.54,mid,artifacts/sku-audit/images/zakuski/zakuski-032.png,https://363363.ru/images/232223232322.png?crc=3844695786
furshetmenu,furshetmenu-016,Острый по-пекински,1200.0,5.78,6.27,5.17,mid,artifacts/sku-audit/images/furshetmenu/furshetmenu-016.jpg,https://363363.ru/images/600x398_0_d6d77afcf74dab5ec32d73a1773f71e2%40800x530_0x59f91261_8047202761381418290.jpg?crc=117768003
zakuski,zakuski-035,"КАНАПЕ С КУРОЧКОЙ, ПОМИДОРОМ ЧЕРРИ И СЫРОМ НА ШПАЖКЕ",180.0,5.78,5.53,6.08,mid,artifacts/sku-audit/images/zakuski/zakuski-035.jpg,https://363363.ru/images/image%2074-crop-u55777.jpg?crc=4288374818
hot,hot-017,Картофель отварной с зеленью,600.0,5.8,3.37,8.78,mid,artifacts/sku-audit/images/hot/hot-017.jpg,https://363363.ru/images/varenaya_kartoshka_s_zeleniu-189008.jpg?crc=4008126318
zakuski,zakuski-013,Рулетики из языка,470.0,5.8,6.75,4.63,mid,artifacts/sku-audit/images/zakuski/zakuski-013.png,https://363363.ru/images/%d1%80%d1%83%d0%bb%d0%b5%d1%82%d0%b8%d0%ba%d0%b8-%d0%b8%d0%b7-%d1%8f%d0%b7%d1%8b%d0%ba%d0%b0-crop-u40243.png?crc=4199695538
zakuski,zakuski-024,Заливное из семги,210.0,5.81,4.74,7.11,mid,artifacts/sku-audit/images/zakuski/zakuski-024.jpg,https://363363.ru/images/zalivnoe_iz_semgi-crop-u49077.jpg?crc=5424624
furshetmenu,furshetmenu-007,Салат Цезарь с курицей,1200.0,5.84,6.79,4.67,mid,artifacts/sku-audit/images/furshetmenu/furshetmenu-007.jpg,https://363363.ru/images/%d1%86%d0%b5%d0%b7%d0%b0%d1%80%d1%8c.jpg?crc=3774747153
