section,sku_id,name,price_rub,appetite_score_data,image_quality_score,food_styling_score,taste_bucket,image_path,image_url
furshetmenu,furshetmenu-021,Салат по сицилийски,1450.0,6.91,7.21,6.55,high,artifacts/sku-audit/images/furshetmenu/furshetmenu-021.jpg,https://363363.ru/images/%d0%b8%d0%b7%d0%be%d0%b1%d1%80%d0%b0%d0%b6%d0%b5%d0%bd%d0%b8%d0%b5%20whatsapp%202024-01-23%20%d0%b2%20151142_f8ea92cb-crop-u80572.jpg?crc=4231917769
zakuski,zakuski-001,Канапе на выбор,120.0,6.92,8.06,5.53,high,artifacts/sku-audit/images/zakuski/zakuski-001.jpg,https://363363.ru/images/00000001.jpg?crc=374478272
furshetmenu,furshetmenu-013,Гнездо глухаря (слоеный),1400.0,6.94,7.6,6.13,high,artifacts/sku-audit/images/furshetmenu/furshetmenu-013.jpg,https://363363.ru/images/83547291_dsc_7404-crop-u18402.jpg?crc=252380366
furshetmenu,furshetmenu-022,Салат норвежский,1700.0,6.95,5.64,8.56,high,artifacts/sku-audit/images/furshetmenu/furshetmenu-022.jpg,https://363363.ru/images/%d0%b8%d0%b7%d0%be%d0%b1%d1%80%d0%b0%d0%b6%d0%b5%d0%bd%d0%b8%d0%b5%20whatsapp%202024-01-23%20%d0%b2%20151142_840e4d5b-crop-u80624.jpg?crc=339684661
hot,hot-009,Картофель по-деревенски,600.0,6.99,6.3,7.83,high,artifacts/sku-audit/images/hot/hot-009.jpg,https://363363.ru/images/1451248525_kartofelnye-dolki-po-derevenski.jpg?crc=391273178
furshetmenu,furshetmenu-001,Салат «Восторг»,1200.0,7.04,7.51,6.46,high,artifacts/sku-audit/images/furshetmenu/furshetmenu-001.jpg,https://363363.ru/images/salat-s-ananasami.jpg?crc=4168189161
hot,hot-001,Шашлык из куриного филе,1500.0,7.2,7.36,7.0,high,artifacts/sku-audit/images/hot/hot-001.jpg,https://363363.ru/images/recept-shashlik-iz-kuricy31.jpg?crc=4126558266
hot,hot-002,Шашлык из свинины с овощами,1900.0,7.29,7.53,7.0,high,artifacts/sku-audit/images/hot/hot-002.jpg,https://363363.ru/images/b81e03-c47df456b38b4a8b9c4879770f944e73-600x399-crop-u17617.jpg?crc=451295926
hot,hot-032,КУРИЦА ГРИЛЬ,790.0,7.52,6.55,8.7,high,artifacts/sku-audit/images/hot/hot-032.jpg,https://363363.ru/images/7ba76875cfb0a438f97f603b7b6bcfad_cropped_740x537.jpg?crc=277360809
hot,hot-015,Сотэ из баклажанов,1100.0,7.82,7.51,8.2,high,artifacts/sku-audit/images/hot/hot-015.jpg,https://363363.ru/images/sote-iz-baklazhanov-recept-sote-iz-baklazhanov-s-foto.jpg?crc=111185878
hot,hot-019,Крылышки в медовом соусе во фритюре,1100.0,7.82,6.99,8.84,high,artifacts/sku-audit/images/hot/hot-019.jpg,https://363363.ru/images/krilishki-med-1.jpg?crc=3969700622
hot,hot-013,Голень индейки запеченная,990.0,7.83,8.42,7.1,high,artifacts/sku-audit/images/hot/hot-013.jpg,https://363363.ru/images/dsc_5531.jpg?crc=211479739
